aname|bname
Julia Child|The Art of French Cooking, Vol. 1
Simone Beck|The Art of French Cooking, Vol. 1
Louisette Bertholie|The Art of French Cooking, Vol. 1
Simone Beck|Simca's Cuisine: 100 Classic French Recipes for Every Occasion
Patricia Simon|Simca's Cuisine: 100 Classic French Recipes for Every Occasion
Julia Child|The French Chef Cookbook
Alice Waters|The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution
Patricia Curtan|The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution
Kelsie Kerr|The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution
Fritz Streiff|The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution
